GeneName	UniprotID.Cha	UniprotID.Tya	UniprotID.Kang	UniprotID.Gamez	Dataset
COG3	NA	Q96JB2|Q96JB2-2	NA	NA	Tya
COIA1	P39060	NA	NA	NA	Cha
COL12A1	NA	NA	NA	NA	Pav
COL1A1	NA	NA	NA	P02452	Pav|Gamez
COL1A2	NA	NA	NA	NA	Pav
COL3A1	NA	NA	NA	NA	Pav
COL6A1	NA	NA	NA	P12109	Pav|Gamez
COL7A1	NA	NA	NA	NA	Pav
COMT	P21964	NA	NA	NA	Cha
COPA	P53621	NA	NA	NA	Cha
COPB2	P35606	NA	NA	NA	Cha
COPD	P48444	NA	NA	NA	Cha
COPE	O14579	NA	NA	NA	Cha
COPG	Q9Y678	NA	NA	NA	Cha
COPG2	Q9UBF2	NA	NA	NA	Cha
CORO1A	NA	NA	NA	NA	Pav
CP	NA	NA	NA	NA	Pav
CPA4	NA	NA	NA	NA	Pav
CPB1	NA	NA	NA	NA	Pav
CPD	NA	NA	NA	NA	Pav
CPN2	NA	NA	NA	NA	Pav
CPT1A	P50416	NA	NA	NA	Cha
CREG1	NA	NA	NA	NA	Pav
CRISP3	NA	NA	NA	NA	Pav
CRP	NA	NA	NA	NA	Pav
CSF1	NA	NA	NA	NA	Pav
CSK21	P68400	NA	NA	NA	Cha
CSN1S1	NA	NA	NA	NA	Pav
CSPG2	P13611	NA	NA	NA	Cha
CSRP1	P21291	NA	NA	NA	Cha
CST3	NA	NA	NA	NA	Pav
CSTB	NA	NA	NA	NA	Pav
CTBS	NA	NA	NA	NA	Pav
CTNA1	P35221	NA	NA	NA	Cha
CTNB1	P35222	NA	NA	NA	Cha
CTND1	O60716	NA	NA	NA	Cha
CTSA	NA	NA	NA	NA	Pav
CTSB	NA	NA	NA	NA	Pav
CTSD	NA	NA	NA	NA	Pav
CTSH	NA	NA	NA	NA	Pav
CTSL1	NA	NA	NA	NA	Pav
CTSL2	NA	NA	NA	NA	Pav
CTSZ	NA	NA	NA	NA	Pav
CUTA	NA	NA	NA	NA	Pav
CV028	Q9Y3I0	NA	NA	NA	Cha
CXCL13	NA	NA	NA	NA	Pav
CYB5	P00167	NA	NA	NA	Cha
CYBP	Q9HB71	NA	NA	NA	Cha
CYCS	NA	NA	NA	NA	Pav
DAD1	NA	F5GXX5|P61803|F5H895	NA	NA	Tya
DAG1	NA	NA	NA	NA	Pav
DBI	NA	NA	NA	NA	Pav
DCD	NA	NA	NA	NA	Pav
DCNL1	Q96GG9	NA	NA	NA	Cha
DCXR	Q7Z4W1	NA	NA	Q7Z4W1	Cha|Gamez
DDX3X	O00571	NA	NA	NA	Cha
DDX5	P17844	NA	NA	NA	Cha
DEFA1	NA	NA	NA	NA	Pav
DHB4	P51659	NA	NA	NA	Cha
DHSO	Q00796	NA	NA	NA	Cha
DHX15	O43143	NA	NA	NA	Cha
DKK1	NA	NA	NA	NA	Pav
DLGAP4	NA	Q9Y2H0-3|Q9Y2H0|F8WF49|Q9Y2H0-1	NA	NA	Tya
DLSTP	NA	NA	NA	NA	Pav
DMBT1	NA	NA	NA	NA	Pav
DMN	O15061	NA	NA	NA	Cha
DNAJA1	NA	P31689|B7Z5C0	NA	NA	Tya
DNAJA2	NA	O60884	NA	NA	Tya
DNASE1L1	NA	NA	NA	NA	Pav
DNASE2	NA	NA	NA	NA	Pav
DOPEY2	NA	NA	NA	NA	Pav
DPP7	NA	NA	NA	NA	Pav
DPYL2	Q16555	NA	NA	NA	Cha
DSC1	Q08554	NA	NA	NA	Cha
DSC2	Q02487	Q02487|Q02487-2	NA	NA	Cha|Pav|Tya
DSC3	NA	NA	NA	NA	Pav
DSG2	Q14126	NA	NA	NA	Cha|Pav
DSRAD	P55265	NA	NA	NA	Cha
DSTN	NA	NA	NA	NA	Pav
DYL1	P63167	NA	NA	NA	Cha
DYL2	Q96FJ2	NA	NA	NA	Cha
ECH1	Q13011	NA	NA	NA	Cha
ECHDC1	NA	Q9NTX5-2|Q9NTX5|Q9NTX5-6|F2Z2D6|E9PJS8	NA	NA	Tya
ECHS1	NA	NA	NA	NA	Pav
ECM1	NA	Q16610|Q16610-4	NA	NA	Pav|Tya
EEF1A2	NA	NA	NA	NA	Pav
EEF1B2	NA	NA	NA	NA	Pav
EEF1D	NA	NA	NA	NA	Pav
EEF1G	NA	P26641	NA	NA	Tya
EEF2	NA	NA	NA	NA	Pav
EFEMP1	NA	NA	NA	NA	Pav
EFNA1	NA	NA	NA	NA	Pav
EFNA4	NA	NA	NA	NA	Pav
EFNB1	NA	NA	NA	NA	Pav
EGF	NA	NA	NA	NA	Pav
EIF1	P41567	NA	NA	NA	Cha
EIF2S2	NA	P20042	NA	NA	Tya
EIF3D	O15371	NA	NA	NA	Cha
EIF3I	Q13347	NA	NA	NA	Cha
EIF4B	NA	NA	NA	NA	Pav
ELOB	Q15370	NA	NA	NA	Cha
EMAL2	O95834	NA	NA	NA	Cha
EMIL1	Q9Y6C2	NA	NA	NA	Cha
ENDOD1	NA	NA	NA	NA	Pav
ENG	NA	NA	NA	NA	Pav
ENO1	NA	P06733	NA	NA	Pav|Tya
ENPP3	NA	NA	NA	NA	Pav
ENTPD1	NA	NA	NA	NA	Pav
ERAF	NA	NA	NA	NA	Pav
ERAP1	NA	NA	NA	NA	Pav
ERBB2	NA	P04626-4|P04626|J3QLU9|B4DTR1|P04626-3|P04626-2	NA	NA	Tya
ERO1A	Q96HE7	NA	NA	NA	Cha
ERO1L	NA	Q96HE7	NA	NA	Tya
EWSR1	NA	NA	NA	NA	Pav
EZR	NA	NA	NA	NA	Pav
F11R	NA	NA	NA	NA	Pav
F12	NA	NA	NA	NA	Pav
F16P1	P09467	NA	NA	NA	Cha
F2	NA	NA	NA	NA	Pav
FA49B	Q9NUQ9	NA	NA	NA	Cha
FABP5	NA	NA	NA	NA	Pav
FAH	NA	NA	NA	NA	Pav
FAM3C	NA	NA	NA	NA	Pav
FASN	NA	NA	NA	NA	Pav
FAT2	NA	NA	NA	NA	Pav
FBLN1	NA	NA	NA	NA	Pav
FBLN1	NA	NA	NA	NA	Pav
FBLN5	NA	NA	NA	NA	Pav
FBP1	NA	NA	NA	NA	Pav
FBRL	P22087	NA	NA	NA	Cha
FCGBP	NA	NA	NA	NA	Pav
FCGR3A	NA	NA	NA	NA	Pav
FETUB	NA	NA	NA	NA	Pav
FGA	NA	NA	NA	NA	Pav
FGB	NA	NA	NA	NA	Pav
FGFBP1	NA	NA	NA	NA	Pav
FGG	NA	NA	NA	NA	Pav
FHIT	NA	NA	NA	NA	Pav
FINC	P02751	NA	NA	NA	Cha
FKB1A	P62942	NA	NA	NA	Cha
FKBP1A	NA	NA	NA	NA	Pav
FLNA	P21333	NA	NA	NA	Cha|Pav
FLNB	NA	NA	NA	NA	Pav
FN1	NA	NA	NA	NA	Pav
FNTA	P49354	NA	NA	NA	Cha
FOLR1	NA	NA	NA	NA	Pav
FOXA1	NA	B7ZAP5|P55317	NA	NA	Tya
FRIH	P02794	NA	NA	NA	Cha
FSCN1	Q16658	NA	NA	NA	Cha|Pav
FST	NA	NA	NA	NA	Pav
FSTL1	NA	NA	NA	NA	Pav
FTH1	NA	NA	NA	NA	Pav
FTL	NA	NA	NA	NA	Pav
FUCA1	NA	NA	NA	NA	Pav
FUCA2	NA	NA	NA	NA	Pav
FUT8	NA	Q9BYC5|G3V5N0|G3XAD2	NA	NA	Tya
FZD7	NA	NA	NA	NA	Pav
FZD8	NA	NA	NA	NA	Pav
G3BP2	Q9UN86	NA	NA	NA	Cha
G6PD	NA	NA	NA	NA	Pav
GAA	NA	NA	NA	NA	Pav
GALNS	NA	NA	NA	NA	Pav
GALNT7	NA	NA	NA	NA	Pav
GANAB	NA	NA	NA	NA	Pav
GAPDH	NA	NA	NA	NA	Pav
GC	NA	NA	NA	NA	Pav
GCP60	Q9H3P7	NA	NA	NA	Cha
GDF15	NA	NA	NA	NA	Pav
GDI2	NA	NA	NA	NA	Pav
GDIA	P31150	NA	NA	NA	Cha
GDIR1	P52565	NA	NA	NA	Cha
GFPT1	Q06210	NA	NA	NA	Cha
GGH	NA	NA	NA	NA	Pav
GGT1	NA	NA	NA	NA	Pav
GGT5	NA	NA	NA	NA	Pav
GLG1	NA	NA	NA	NA	Pav
GLNA	P15104	NA	NA	NA	Cha
GLOD4	NA	Q9HC38-2|Q9HC38|B7Z403|I3L3Q4	NA	NA	Tya
GLS	NA	O94925	NA	NA	Tya
GLYC	P34896	NA	NA	NA	Cha
GM2A	NA	NA	NA	NA	Pav
GOLM1	NA	NA	NA	NA	Pav
GORS2	Q9H8Y8	NA	NA	NA	Cha
GOT1	NA	NA	NA	NA	Pav
GP2	NA	NA	NA	NA	Pav
GPC1	NA	NA	NA	NA	Pav
GPI	NA	NA	NA	NA	Pav
GPNMB	NA	NA	NA	NA	Pav
GPR126	NA	NA	NA	NA	Pav
GPRC5B	NA	NA	NA	NA	Pav
GPSN2	Q9NZ01	NA	NA	NA	Cha
GPX4	P36969	NA	NA	NA	Cha
GRB7	NA	Q14451|Q14451-3|Q14451-4|Q14451-2	NA	NA	Tya
GRN	NA	NA	NA	NA	Pav
GSN	NA	NA	NA	NA	Pav
GSR	NA	NA	NA	NA	Pav
GSTM5	NA	NA	NA	NA	Pav
GSTO1	P78417	NA	NA	NA	Cha|Pav
GSTP1	P09211	NA	NA	NA	Cha|Pav
