GeneName	UniprotID.Cha	UniprotID.Tya	UniprotID.Kang	UniprotID.Gamez	Dataset
SSR3	NA	NA	NA	B4E2P2	Gamez
SERBP1|hCG_2032021	NA	NA	NA	D3DQ70	Gamez
ADSL	NA	NA	NA	E7ERF4	Gamez
EIF4G1|EIF4F|EIF4G|EIF4GI	NA	NA	NA	E9PFM1	Gamez
	NA	NA	NA	F5H299	Gamez
	NA	NA	NA	H3BMK9	Gamez
ATP1A1	NA	NA	NA	F5H3A1	Gamez
NAT1	NA	NA	NA	F5H5R8	Gamez
KRT8|CYK8	NA	NA	NA	F8VXB4	Gamez
HSPB6	NA	NA	NA	O14558	Gamez
SLC9A3R1|NHERF|NHERF1	NA	NA	NA	O14745	Gamez
PPM1G|PPM1C	NA	NA	NA	O15355	Gamez
PHGDH|PGDH3	NA	NA	NA	O43175	Gamez
HTRA2|OMI|PRSS25	NA	NA	NA	O43464	Gamez
PLIN1|PERI|PLIN	NA	NA	NA	O60240	Gamez
CBR3	NA	NA	NA	O75828	Gamez
AGR2|AG2|UNQ515/PRO1030	NA	NA	NA	O95994	Gamez
CYB5A|CYB5	NA	NA	NA	P00167	Gamez
COL6A2	NA	NA	NA	P12110	Gamez
HSPB1|HSP27|HSP28	NA	NA	NA	P04792	Gamez
CYBB|NOX2	NA	NA	NA	P04839	Gamez
S100A8|CAGA|CFAG|MRP8	NA	NA	NA	P05109	Gamez
KRT18|CYK18|PIG46	NA	NA	NA	P05783	Gamez
S100A9|CAGB|CFAG|MRP14	NA	NA	NA	P06702	Gamez
ENO1|ENO1L1|MBPB1|MPB1	NA	NA	NA	P06733	Gamez
OGN|OIF|SLRR3A	NA	NA	NA	P20774	Gamez
DCN|SLRR1B	NA	NA	NA	P07585	Gamez
QDPR|DHPR	NA	NA	NA	P09417	Gamez
FBP1|FBP	NA	NA	NA	P09467	Gamez
HSPA5|GRP78	NA	NA	NA	P11021	Gamez
WARS|IFI53|WRS	NA	NA	NA	P23381	Gamez
CMA1|CYH|CYM	NA	NA	NA	P23946	Gamez
SLC25A6|ANT3|CDABP0051	NA	NA	NA	P12236	Gamez
PIP|GCDFP15|GPIP4	NA	NA	NA	P12273	Gamez
VCAN|CSPG2	NA	NA	NA	P13611	Gamez
PDIA4|ERP70|ERP72	NA	NA	NA	P13667	Gamez
SHMT2	NA	NA	NA	P34897	Gamez
CPA3	NA	NA	NA	P15088	Gamez
ASAH1|ASAH|HSD-33|HSD33	NA	NA	NA	Q13510	Gamez
COMP	NA	NA	NA	P49747	Gamez
GSTM3|GST5	NA	NA	NA	P21266	Gamez
GPD1	NA	NA	NA	P21695	Gamez
BGN|SLRR1A	NA	NA	NA	P21810	Gamez
ADIRF|AFRO|APM2|C10orf116	NA	NA	NA	Q15847	Gamez
EIF4A1|DDX2A|EIF4A	NA	NA	NA	P60842	Gamez
MXRA7|TMAP1	NA	NA	NA	P84157	Gamez
IVD	NA	NA	NA	P26440	Gamez
EEF1G|EF1G|PRO1608	NA	NA	NA	P26641	Gamez
LGALS3BP|M2BP	NA	NA	NA	Q08380	Gamez
NSUN2|SAKI|TRM4	NA	NA	NA	Q08J23	Gamez
SELENBP1|SBP	NA	NA	NA	Q13228	Gamez
TSTD1|KAT	NA	NA	NA	Q8NFU3	Gamez
CIRBP|A18HNRNP|CIRP	NA	NA	NA	Q14011	Gamez
LUM|LDC|SLRR2D	NA	NA	NA	P51884	Gamez
PRELP|SLRR2A	NA	NA	NA	P51888	Gamez
ALDH18A1|GSAS|P5CS|PYCS	NA	NA	NA	P54886	Gamez
STARD10|SDCCAG28|CGI-52	NA	NA	NA	Q9Y365	Gamez
UGP2|UGP1	NA	NA	NA	Q16851	Gamez
TXNRD1|GRIM12|KDRF	NA	NA	NA	Q16881	Gamez
PURA|PUR1	NA	NA	NA	Q00577	Gamez
COL10A1	NA	NA	NA	Q03692	Gamez
NCAPG2|LUZP5	NA	NA	NA	Q86XI2	Gamez
HDDC3|MESH1	NA	NA	NA	Q8N4P3	Gamez
COLGALT1|GLT25D1|PSEC0241	NA	NA	NA	Q8NBJ5	Gamez
EHD2|PAST2	NA	NA	NA	Q9NZN4	Gamez
AGR3|BCMP11|UNQ642/PRO1272	NA	NA	NA	Q8TD06	Gamez
CAPRIN1|GPIAP1|GPIP137|M11S1|RNG105	NA	NA	NA	Q14444	Gamez
PDIA6|ERP5|P5|TXNDC7	NA	NA	NA	Q15084	Gamez
PAFAH1B3|PAFAHG	NA	NA	NA	Q15102	Gamez
PBDC1|CXorf26	NA	NA	NA	Q9BVG4	Gamez
IL4I1|FIG1|UNQ636/PRO1265	NA	NA	NA	Q96RQ9	Gamez
CCT7|CCTH|NIP7-1	NA	NA	NA	Q99832	Gamez
TCEAL5	NA	NA	NA	Q5H9L2	Gamez
PPP1R14B|PLCB3N|PNG	NA	NA	NA	Q96C90	Gamez
ASPN|PLAP1|SLRR1C|UNQ215/PRO241	NA	NA	NA	Q9BXN1	Gamez
EIF2A|CDA02|MSTP004|MSTP089	NA	NA	NA	Q9BY44	Gamez
MCCC2|MCCB	NA	NA	NA	Q9HCC0	Gamez
ERP44|KIAA0573|TXNDC4|UNQ532/PRO1075	NA	NA	NA	Q9BS26	Gamez
ABRACL|C6orf115|HSPC280|PRO2013	NA	NA	NA	Q9P1F3	Gamez
HSD17B8|FABGL|HKE6|RING2	NA	NA	NA	Q92506	Gamez
NDRG1|CAP43|DRG1|RTP	NA	NA	NA	Q92597	Gamez
NUDT5|HSPC115	NA	NA	NA	Q9UKK9	Gamez
SRRM2|KIAA0324|SRL300|SRM300|HSPC075	NA	NA	NA	Q9UQ35	Gamez
ATP6V1D|ATP6M|VATD	NA	NA	NA	Q9Y5K8	Gamez
PFDN2|PFD2|HSPC231	NA	NA	NA	Q9UHV9	Gamez
NA	NA	NA	P02763	NA	Kang
NA	NA	NA	P02765	NA	Kang
NA	NA	NA	P43251	NA	Kang
NA	NA	NA	P68871	NA	Kang
NA	NA	NA	Q96S65	NA	Kang
NA	NA	NA	Q9HDC9	NA	Kang
NA	NA	NA	P02745	NA	Kang
NA	NA	NA	P06126	NA	Kang
NA	NA	NA	P08519	NA	Kang
NA	NA	NA	P15169	NA	Kang
NA	NA	NA	P31994	NA	Kang
NA	NA	NA	P36980	NA	Kang
NA	NA	NA	A6NFM5	NA	Kang
NA	NA	NA	A6NFT0	NA	Kang
NA	NA	NA	A6NH96	NA	Kang
NA	NA	NA	A6NMB9	NA	Kang
NA	NA	NA	O00533	NA	Kang
NA	NA	NA	O43866	NA	Kang
NA	NA	NA	O75882	NA	Kang
NA	NA	NA	O95045	NA	Kang
NA	NA	NA	O95255	NA	Kang
NA	NA	NA	O95445	NA	Kang
NA	NA	NA	P00450	NA	Kang
NA	NA	NA	P00488	NA	Kang
NA	NA	NA	P00734	NA	Kang
NA	NA	NA	P00736	NA	Kang
NA	NA	NA	P00738	NA	Kang
NA	NA	NA	P00740	NA	Kang
NA	NA	NA	P00742	NA	Kang
NA	NA	NA	P00747	NA	Kang
NA	NA	NA	P00748	NA	Kang
NA	NA	NA	P00751	NA	Kang
NA	NA	NA	P01008	NA	Kang
NA	NA	NA	P01011	NA	Kang
NA	NA	NA	P01023	NA	Kang
NA	NA	NA	P01024	NA	Kang
NA	NA	NA	P01028	NA	Kang
NA	NA	NA	P01031	NA	Kang
NA	NA	NA	P01042	NA	Kang
NA	NA	NA	P01344	NA	Kang
NA	NA	NA	P01591	NA	Kang
NA	NA	NA	P02649	NA	Kang
NA	NA	NA	P02652	NA	Kang
NA	NA	NA	P02675	NA	Kang
NA	NA	NA	P02679	NA	Kang
NA	NA	NA	P13645	NA	Kang
NA	NA	NA	P02748	NA	Kang
NA	NA	NA	P02749	NA	Kang
NA	NA	NA	P02751	NA	Kang
NA	NA	NA	P02753	NA	Kang
NA	NA	NA	P02760	NA	Kang
NA	NA	NA	P20769	NA	Kang
NA	NA	NA	P20851	NA	Kang
NA	NA	NA	P02766	NA	Kang
NA	NA	NA	P02768	NA	Kang
NA	NA	NA	P02768	NA	Kang
NA	NA	NA	P02774	NA	Kang
NA	NA	NA	P02775	NA	Kang
NA	NA	NA	P02787	NA	Kang
NA	NA	NA	P02790	NA	Kang
NA	NA	NA	P04003	NA	Kang
NA	NA	NA	P04004	NA	Kang
NA	NA	NA	P04114	NA	Kang
NA	NA	NA	P04196	NA	Kang
NA	NA	NA	P04217	NA	Kang
NA	NA	NA	P05090	NA	Kang
NA	NA	NA	P05109	NA	Kang
NA	NA	NA	P05155	NA	Kang
NA	NA	NA	P05156	NA	Kang
NA	NA	NA	P05160	NA	Kang
NA	NA	NA	P05452	NA	Kang
NA	NA	NA	P59666	NA	Kang
NA	NA	NA	P06396	NA	Kang
NA	NA	NA	P06681	NA	Kang
NA	NA	NA	P07357	NA	Kang
NA	NA	NA	P07358	NA	Kang
NA	NA	NA	Q04756	NA	Kang
NA	NA	NA	P08571	NA	Kang
NA	NA	NA	P08603	NA	Kang
NA	NA	NA	P08697	NA	Kang
NA	NA	NA	P09086	NA	Kang
NA	NA	NA	P09871	NA	Kang
NA	NA	NA	P10643	NA	Kang
NA	NA	NA	P10909	NA	Kang
NA	NA	NA	P13591	NA	Kang
NA	NA	NA	Q15113	NA	Kang
NA	NA	NA	P13671	NA	Kang
NA	NA	NA	P14151	NA	Kang
NA	NA	NA	Q68CY3	NA	Kang
NA	NA	NA	P19652	NA	Kang
NA	NA	NA	P20769	NA	Kang
NA	NA	NA	Q6ZP81	NA	Kang
NA	NA	NA	Q6ZRS5	NA	Kang
NA	NA	NA	P22352	NA	Kang
NA	NA	NA	P22792	NA	Kang
NA	NA	NA	P23142	NA	Kang
NA	NA	NA	P25311	NA	Kang
NA	NA	NA	P27169	NA	Kang
NA	NA	NA	P27918	NA	Kang
NA	NA	NA	P29622	NA	Kang
NA	NA	NA	Q8TBF2	NA	Kang
NA	NA	NA	P35908	NA	Kang
NA	NA	NA	P36955	NA	Kang
NA	NA	NA	Q92496	NA	Kang
NA	NA	NA	P42338	NA	Kang
NA	NA	NA	Q92954	NA	Kang
NA	NA	NA	P43652	NA	Kang
NA	NA	NA	P48740	NA	Kang
NA	NA	NA	P50991	NA	Kang
NA	NA	NA	P51884	NA	Kang
NA	NA	NA	P52789	NA	Kang
NA	NA	NA	Q96PD5	NA	Kang
NA	NA	NA	Q8NCX9	NA	Kang
NA	NA	NA	P98160	NA	Kang
NA	NA	NA	Q01546	NA	Kang
NA	NA	NA	Q03591	NA	Kang
NA	NA	NA	Q9NZ54	NA	Kang
NA	NA	NA	Q07898	NA	Kang
NA	NA	NA	Q12805	NA	Kang
NA	NA	NA	Q12986	NA	Kang
NA	NA	NA	Q13098	NA	Kang
NA	NA	NA	Q13164	NA	Kang
NA	NA	NA	Q13608	NA	Kang
NA	NA	NA	Q14520	NA	Kang
NA	NA	NA	Q14624	NA	Kang
NA	NA	NA	Q68E01	NA	Kang
NA	NA	NA	Q16610	NA	Kang
NA	NA	NA	Q5THK1	NA	Kang
NA	NA	NA	Q8WVX6	NA	Kang
NA	NA	NA	Q6ZWP6	NA	Kang
NA	NA	NA	Q6LA40	NA	Kang
NA	NA	NA	Q92618	NA	Kang
NA	NA	NA	Q9UGM5	NA	Kang
NA	NA	NA	Q8N919	NA	Kang
NA	NA	NA	Q7Z3Y4	NA	Kang
NA	NA	NA	Q7Z3Z0	NA	Kang
NA	NA	NA	Q8IVF5	NA	Kang
NA	NA	NA	Q96MN2	NA	Kang
NA	NA	NA	Q8WX92	NA	Kang
NA	NA	NA	Q8TBD9	NA	Kang
NA	NA	NA	Q9BXR6	NA	Kang
NA	NA	NA	Q9Y3M8	NA	Kang
NA	NA	NA	Q96DD0	NA	Kang
NA	NA	NA	Q96EZ7	NA	Kang
NA	NA	NA	Q9P2F8	NA	Kang
NA	NA	NA	Q96P70	NA	Kang
NA	NA	NA	Q9NXV2	NA	Kang
NA	NA	NA	Q96JQ0	NA	Kang
NA	NA	NA	Q9Y5Y4	NA	Kang
NA	NA	NA	Q9ULW2	NA	Kang
NA	NA	NA	Q9UPR2	NA	Kang
NA	NA	NA	Q9Y623	NA	Kang
