Names	Uniprot
KIAA0529;USP15	Q2NL66
CDABP0061;CGI-48;UTP18;WDR50	Q9Y5J1
CDABP0061;CGI-48;UTP18;WDR50	B2RAX6
NET6;TM4SF13;TSPAN13;UNQ260/PRO296;hCG_17375;tcag7.1203	O95857
NET6;TM4SF13;TSPAN13;UNQ260/PRO296;hCG_17375;tcag7.1203	B3KQT6
NET6;TM4SF13;TSPAN13;UNQ260/PRO296;hCG_17375;tcag7.1203	Q6FGK0
NET7;TM4SF15;TSPAN15;UNQ677/PRO1311	O95858
NET7;TM4SF15;TSPAN15;UNQ677/PRO1311	C9JFB4
DDAH;DDAH2;G6A;NG30;DADB-110M10.5-010;DAMA-236L13.14-010;DAMC-117B11.9-010;DAQB-350E15.2-010;DASS-312M4.7-010;XXbac-BCX88C14.2-010;XXbac-BPG32J3.8-010;DADB-110M10.5-007;DAMA-236L13.14-007;DAMC-117B11.9-007;DAQB-350E15.2-007;DASS-312M4.7-007;XXbac-BCX88C14.2-007;XXbac-BPG32J3.8-007;DADB-110M10.5-008;DAMA-236L13.14-008;DAMC-117B11.9-008;DASS-312M4.7-008;XXbac-BCX88C14.2-008;XXbac-BPG32J3.8-008;DAQB-350E15.2-008	O95865
DDAH;DDAH2;G6A;NG30;DADB-110M10.5-010;DAMA-236L13.14-010;DAMC-117B11.9-010;DAQB-350E15.2-010;DASS-312M4.7-010;XXbac-BCX88C14.2-010;XXbac-BPG32J3.8-010;DADB-110M10.5-007;DAMA-236L13.14-007;DAMC-117B11.9-007;DAQB-350E15.2-007;DASS-312M4.7-007;XXbac-BCX88C14.2-007;XXbac-BPG32J3.8-007;DADB-110M10.5-008;DAMA-236L13.14-008;DAMC-117B11.9-008;DASS-312M4.7-008;XXbac-BCX88C14.2-008;XXbac-BPG32J3.8-008;DAQB-350E15.2-008	A2ABS5
DDAH;DDAH2;G6A;NG30;DADB-110M10.5-010;DAMA-236L13.14-010;DAMC-117B11.9-010;DAQB-350E15.2-010;DASS-312M4.7-010;XXbac-BCX88C14.2-010;XXbac-BPG32J3.8-010;DADB-110M10.5-007;DAMA-236L13.14-007;DAMC-117B11.9-007;DAQB-350E15.2-007;DASS-312M4.7-007;XXbac-BCX88C14.2-007;XXbac-BPG32J3.8-007;DADB-110M10.5-008;DAMA-236L13.14-008;DAMC-117B11.9-008;DASS-312M4.7-008;XXbac-BCX88C14.2-008;XXbac-BPG32J3.8-008;DAQB-350E15.2-008	Q5SRR8
DDAH;DDAH2;G6A;NG30;DADB-110M10.5-010;DAMA-236L13.14-010;DAMC-117B11.9-010;DAQB-350E15.2-010;DASS-312M4.7-010;XXbac-BCX88C14.2-010;XXbac-BPG32J3.8-010;DADB-110M10.5-007;DAMA-236L13.14-007;DAMC-117B11.9-007;DAQB-350E15.2-007;DASS-312M4.7-007;XXbac-BCX88C14.2-007;XXbac-BPG32J3.8-007;DADB-110M10.5-008;DAMA-236L13.14-008;DAMC-117B11.9-008;DASS-312M4.7-008;XXbac-BCX88C14.2-008;XXbac-BPG32J3.8-008;DAQB-350E15.2-008	Q5SSV3
DDAH;DDAH2;G6A;NG30;DADB-110M10.5-010;DAMA-236L13.14-010;DAMC-117B11.9-010;DAQB-350E15.2-010;DASS-312M4.7-010;XXbac-BCX88C14.2-010;XXbac-BPG32J3.8-010;DADB-110M10.5-007;DAMA-236L13.14-007;DAMC-117B11.9-007;DAQB-350E15.2-007;DASS-312M4.7-007;XXbac-BCX88C14.2-007;XXbac-BPG32J3.8-007;DADB-110M10.5-008;DAMA-236L13.14-008;DAMC-117B11.9-008;DASS-312M4.7-008;XXbac-BCX88C14.2-008;XXbac-BPG32J3.8-008;DAQB-350E15.2-008	A3KGN5
C6orf24;G6C;LY6G6C;NG24;UNQ1947/PRO4430;DADB-110M10.4-001;DAMA-236L13.13-001;DAMC-117B11.7-001;DAQB-350E15.3-001;DASS-312M4.5-001;hCG_43718;XXbac-BCX88C14.6-001;XXbac-BPG32J3.3-001	O95867
C6orf24;G6C;LY6G6C;NG24;UNQ1947/PRO4430;DADB-110M10.4-001;DAMA-236L13.13-001;DAMC-117B11.7-001;DAQB-350E15.3-001;DASS-312M4.5-001;hCG_43718;XXbac-BCX88C14.6-001;XXbac-BPG32J3.3-001	Q5SRS8
LMP2;PSMB6i;PSMB9;RING12;DADB-223G19.3-001;DAMA-91I23.6-001;DAQB-69D7.7-001;hCG_17510;XXbac-BCX32M13.7-001;DADB-223G19.3-005;DAMA-91I23.6-005;DAQB-69D7.7-005;XXbac-BCX32M13.7-005;XXbac-BPG246D15.7-005;DAAP-27A1.3-005;DAMC-226H3.3-005;DASS-67H14.4-005	B0V0T1
LMP2;PSMB6i;PSMB9;RING12;DADB-223G19.3-001;DAMA-91I23.6-001;DAQB-69D7.7-001;hCG_17510;XXbac-BCX32M13.7-001;DADB-223G19.3-005;DAMA-91I23.6-005;DAQB-69D7.7-005;XXbac-BCX32M13.7-005;XXbac-BPG246D15.7-005;DAAP-27A1.3-005;DAMC-226H3.3-005;DASS-67H14.4-005	P28065-1
LMP2;PSMB6i;PSMB9;RING12;DADB-223G19.3-001;DAMA-91I23.6-001;DAQB-69D7.7-001;hCG_17510;XXbac-BCX32M13.7-001;DADB-223G19.3-005;DAMA-91I23.6-005;DAQB-69D7.7-005;XXbac-BCX32M13.7-005;XXbac-BPG246D15.7-005;DAAP-27A1.3-005;DAMC-226H3.3-005;DASS-67H14.4-005	P28065
LMP2;PSMB6i;PSMB9;RING12;DADB-223G19.3-001;DAMA-91I23.6-001;DAQB-69D7.7-001;hCG_17510;XXbac-BCX32M13.7-001;DADB-223G19.3-005;DAMA-91I23.6-005;DAQB-69D7.7-005;XXbac-BCX32M13.7-005;XXbac-BPG246D15.7-005;DAAP-27A1.3-005;DAMC-226H3.3-005;DASS-67H14.4-005	Q5JNW4
LMP2;PSMB6i;PSMB9;RING12;DADB-223G19.3-001;DAMA-91I23.6-001;DAQB-69D7.7-001;hCG_17510;XXbac-BCX32M13.7-001;DADB-223G19.3-005;DAMA-91I23.6-005;DAQB-69D7.7-005;XXbac-BCX32M13.7-005;XXbac-BPG246D15.7-005;DAAP-27A1.3-005;DAMC-226H3.3-005;DASS-67H14.4-005	P28065-2
LMP2;PSMB6i;PSMB9;RING12;DADB-223G19.3-001;DAMA-91I23.6-001;DAQB-69D7.7-001;hCG_17510;XXbac-BCX32M13.7-001;DADB-223G19.3-005;DAMA-91I23.6-005;DAQB-69D7.7-005;XXbac-BCX32M13.7-005;XXbac-BPG246D15.7-005;DAAP-27A1.3-005;DAMC-226H3.3-005;DASS-67H14.4-005	A2ACR1
LMP2;PSMB6i;PSMB9;RING12;DADB-223G19.3-001;DAMA-91I23.6-001;DAQB-69D7.7-001;hCG_17510;XXbac-BCX32M13.7-001;DADB-223G19.3-005;DAMA-91I23.6-005;DAQB-69D7.7-005;XXbac-BCX32M13.7-005;XXbac-BPG246D15.7-005;DAAP-27A1.3-005;DAMC-226H3.3-005;DASS-67H14.4-005	B0V0T3
CRYZ;DKFZp686C16101;hCG_21668	Q08257
